"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.4174757281553396","0.038454216638111556","0.29261363636363635","0.0","2","7","false","-1.11318637092955","SV2C","10.0","0","2","0","0.9220169119949891","true","0","SV2C","1688","0.5"
"4.388349514563107","0.01941747572815534","0.2278761061946903","0.0","2","8","false","1.04575175827036","SLC22A8","1.5","0","2","0","0.8906984027560289","true","0","SLC22A8","846","0.5"
"5.378640776699029","0.0","0.1859205776173285","0.0","1","9","false","1.37244637388423","SLC22A2","2.0","0","1","0","0.8587535233322894","true","0","SLC22A2","0","0.0"
"3.7766990291262137","0.0","0.2647814910025707","0.0","1","7","false","1.2515234135055","SERPINA5","8.0","0","1","0","0.9104290635765737","true","0","SERPINA5","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","1.11554982968171","OR7A5","1.0","0","1","0","1.0","true","0","OR7A5","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","1.44003993784211","OR7A10","1.0","0","1","0","1.0","true","0","OR7A10","0","0.0"
"3.0194174757281553","0.0","0.3311897106109325","1.0","2","6","false","1.11553512726902","NKX6-1","15.5","0","2","0","0.9348575007829628","true","0","NKX6-1","0","0.5740740740740741"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","-1.27439830262995","SLN","2.0","0","1","0","0.75","true","0","SLN","0","0.0"
"1.0","1.0","1.0","0.0","2","1","false","-1.05451990434353","MYOG","1.0","0","2","0","1.0","true","0","MYOG","2","0.0"
"1.5","0.0","0.6666666666666666","0.0","1","2","false","1.06536584323562","MYOCD","2.0","0","1","0","0.75","true","0","MYOCD","0","0.0"
"4.446601941747573","0.0","0.22489082969432314","0.0","1","8","false","-1.2748190673809","KRT82","3.0","0","1","0","0.8888192922016912","true","0","KRT82","0","0.0"
"3.8446601941747574","0.0","0.2601010101010101","0.0","1","7","false","-1.05466912489084","KCNV1","7.0","0","1","0","0.9082367679298465","true","0","KCNV1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","1.09370676664945","KCNE4","1.0","0","1","0","1.0","true","0","KCNE4","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","1.24166358251787","IRX5","1.0","0","1","0","1.0","true","0","IRX5","0","0.0"
"3.6699029126213594","0.0","0.2724867724867725","0.0","1","7","false","-1.00679930374156","ROBO2","9.0","0","1","0","0.9138740995928594","true","0","ROBO2","0","0.0"
"3.1359223300970873","0.002099644851656233","0.3188854489164087","0.0","2","6","false","-1.0238929896048","HRG","10.0","0","2","0","0.9310992796742875","true","0","HRG","136","0.5"
"4.0","0.0","0.25","0.0","1","7","false","-1.04639977139527","TDO2","2.0","0","1","0","0.9032258064516129","true","0","TDO2","0","0.0"
"3.0097087378640777","0.01941747572815534","0.33225806451612905","0.0","2","6","false","-1.00699432486549","HDC","14.0","0","2","0","0.9351706858753523","true","0","HDC","528","0.5"
"3.029126213592233","0.0","0.3301282051282051","0.0","1","6","false","1.03164691022508","HCAR3","27.0","0","1","0","0.9345443156905732","true","0","HCAR3","0","0.0"
"1.5","0.0","0.6666666666666666","1.0","2","2","false","1.01227766437128","H2AC12","3.5","0","2","0","0.875","true","0","H2AC12","0","0.875"
"1.25","0.08333333333333333","0.8","0.6666666666666666","3","2","false","1.14169492188089","H2AC11","3.0","0","3","0","0.9375","true","0","H2AC11","2","0.75"
"1.0","0.3333333333333333","1.0","0.5","4","1","false","1.75724980125086","H4C4","2.5","0","4","0","1.0","true","0","H4C4","6","0.625"
"1.25","0.08333333333333333","0.8","0.6666666666666666","3","2","false","1.43995141743239","H3C6","3.0","0","3","0","0.9375","true","0","H3C6","2","0.75"
