"log2FoldChange","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"-1.12907936162462","Cluster 1","Seed","4.0","BDNF","false","BDNF"
"-1.10507029067132","Cluster 1","Clustered","4.0","GAD1","false","GAD1"
"1.24297539553414","Cluster 1","Clustered","4.0","CXCR4","false","CXCR4"
"1.0795449175976","Cluster 1","Clustered","4.0","CXCR3","false","CXCR3"
"-1.16213436458313","Cluster 1","Clustered","4.0","SLC32A1","false","SLC32A1"
"1.00614539844469","Cluster 1","Clustered","4.0","CXCL8","false","CXCL8"
"1.07674928512479","Cluster 1","Clustered","4.0","CCR2","false","CCR2"
"-1.40517829857584","Cluster 1","Clustered","4.0","SST","false","SST"
"1.08464148845522","Cluster 1","Clustered","4.0","IL7R","false","IL7R"
"-1.7297361628687","Cluster 1","Clustered","4.0","CRH","false","CRH"
