"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015812","gamma-aminobutyric acid transport","2/5","15/18842",0.133333333333333,502.453333333333,31.6531327284921,5.90729791503452e-06,0.00177809667242539,0.000491238458197607,"CRH/SLC32A1",2
"GO:0021761","limbic system development","2/5","70/18842",0.0285714285714286,107.668571428571,14.5667053005494,0.000135076000226324,0.0203289380340617,0.00561631790414715,"CRH/SLC32A1",2
"GO:0015695","organic cation transport","2/5","120/18842",0.0166666666666667,62.8066666666667,11.0657519962893,0.000397235733978257,0.024568392251234,0.0067875607198723,"CRH/SLC32A1",2
"GO:0007586","digestion","2/5","122/18842",0.0163934426229508,61.7770491803279,10.9723009700608,0.000410556375497512,0.024568392251234,0.0067875607198723,"CRH/SST",2
"GO:0007269","neurotransmitter secretion","2/5","142/18842",0.0140845070422535,53.0760563380282,10.148282894505,0.000555660807007834,0.024568392251234,0.0067875607198723,"CRH/SLC32A1",2
"GO:0099643","signal release from synapse","2/5","142/18842",0.0140845070422535,53.0760563380282,10.148282894505,0.000555660807007834,0.024568392251234,0.0067875607198723,"CRH/SLC32A1",2
"GO:0006865","amino acid transport","2/5","144/18842",0.0138888888888889,52.3388888888889,10.0753755152688,0.000571357959331023,0.024568392251234,0.0067875607198723,"CRH/SLC32A1",2
"GO:0006836","neurotransmitter transport","2/5","206/18842",0.00970873786407767,36.5864077669903,8.36705296521934,0.00116401655695194,0.0258523755776182,0.00714228945840825,"CRH/SLC32A1",2
"GO:0009755","hormone-mediated signaling pathway","2/5","212/18842",0.00943396226415094,35.5509433962264,8.24237787693885,0.00123219158309868,0.0258523755776182,0.00714228945840825,"CRH/SST",2
"GO:0051402","neuron apoptotic process","2/5","225/18842",0.00888888888888889,33.4968888888889,7.98931055795272,0.00138639708902229,0.0258523755776182,0.00714228945840825,"CRH/BDNF",2
"GO:0030900","forebrain development","2/5","258/18842",0.00775193798449612,29.2124031007752,7.43380976520722,0.00181751817113746,0.0258523755776182,0.00714228945840825,"CRH/SLC32A1",2
"GO:0098828","modulation of inhibitory postsynaptic potential","1/5","10/18842",0.1,376.84,19.368049426943,0.00265111198995749,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:2000849","regulation of glucocorticoid secretion","1/5","10/18842",0.1,376.84,19.368049426943,0.00265111198995749,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0048545","response to steroid hormone","2/5","317/18842",0.00630914826498423,23.7753943217666,6.66265822375734,0.00272854671308806,0.0258523755776182,0.00714228945840825,"CRH/SST",2
"GO:0007567","parturition","1/5","11/18842",0.0909090909090909,342.581818181818,18.4622872956607,0.00291591362759847,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0035933","glucocorticoid secretion","1/5","11/18842",0.0909090909090909,342.581818181818,18.4622872956607,0.00291591362759847,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0048241","epinephrine transport","1/5","11/18842",0.0909090909090909,342.581818181818,18.4622872956607,0.00291591362759847,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:2000252","negative regulation of feeding behavior","1/5","11/18842",0.0909090909090909,342.581818181818,18.4622872956607,0.00291591362759847,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:2000822","regulation of behavioral fear response","1/5","11/18842",0.0909090909090909,342.581818181818,18.4622872956607,0.00291591362759847,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0015849","organic acid transport","2/5","332/18842",0.00602409638554217,22.7012048192771,6.49951254667483,0.00298850239286261,0.0258523755776182,0.00714228945840825,"CRH/SLC32A1",2
"GO:0046942","carboxylic acid transport","2/5","332/18842",0.00602409638554217,22.7012048192771,6.49951254667483,0.00298850239286261,0.0258523755776182,0.00714228945840825,"CRH/SLC32A1",2
"GO:0014061","regulation of norepinephrine secretion","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0033604","negative regulation of catecholamine secretion","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0038180","nerve growth factor signaling pathway","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"BDNF",1
"GO:0042754","negative regulation of circadian rhythm","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0048243","norepinephrine secretion","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0048670","regulation of collateral sprouting","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"BDNF",1
"GO:1903365","regulation of fear response","1/5","12/18842",0.0833333333333333,314.033333333333,17.6720591669797,0.00318065901721432,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0010832","negative regulation of myotube differentiation","1/5","13/18842",0.0769230769230769,289.876923076923,16.97469603479,0.00344534816776754,0.0258523755776182,0.00714228945840825,"BDNF",1
"GO:0032276","regulation of gonadotropin secretion","1/5","13/18842",0.0769230769230769,289.876923076923,16.97469603479,0.00344534816776754,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:2000833","positive regulation of steroid hormone secretion","1/5","13/18842",0.0769230769230769,289.876923076923,16.97469603479,0.00344534816776754,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0009410","response to xenobiotic stimulus","2/5","368/18842",0.00543478260869565,20.4804347826087,6.14855685694165,0.00365869527020149,0.0258523755776182,0.00714228945840825,"CRH/SST",2
"GO:0060456","positive regulation of digestive system process","1/5","14/18842",0.0714285714285714,269.171428571429,16.3533049965434,0.00370998108821785,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0170043","non-proteinogenic amino acid biosynthetic process","1/5","14/18842",0.0714285714285714,269.171428571429,16.3533049965434,0.00370998108821785,0.0258523755776182,0.00714228945840825,"GAD1",1
"GO:0048521","negative regulation of behavior","1/5","15/18842",0.0666666666666667,251.226666666667,15.7950049699702,0.00397455778752531,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0051412","response to corticosterone","1/5","15/18842",0.0666666666666667,251.226666666667,15.7950049699702,0.00397455778752531,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0048668","collateral sprouting","1/5","16/18842",0.0625,235.525,15.2897793072968,0.0042390782746482,0.0258523755776182,0.00714228945840825,"BDNF",1
"GO:1903998","regulation of eating behavior","1/5","16/18842",0.0625,235.525,15.2897793072968,0.0042390782746482,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:1904044","response to aldosterone","1/5","16/18842",0.0625,235.525,15.2897793072968,0.0042390782746482,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:2000846","regulation of corticosteroid hormone secretion","1/5","16/18842",0.0625,235.525,15.2897793072968,0.0042390782746482,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0015816","glycine transport","1/5","17/18842",0.0588235294117647,221.670588235294,14.8297055841068,0.00450354255854435,0.0258523755776182,0.00714228945840825,"SLC32A1",1
"GO:0032274","gonadotropin secretion","1/5","17/18842",0.0588235294117647,221.670588235294,14.8297055841068,0.00450354255854435,0.0258523755776182,0.00714228945840825,"CRH",1
"GO:0043649","dicarboxylic acid catabolic process","1/5","17/18842",0.0588235294117647,221.670588235294,14.8297055841068,0.00450354255854435,0.0258523755776182,0.00714228945840825,"GAD1",1
